District,Year,Season,Unemployment_Rate,Average_Income,Education_Level,Population_Density,Police_Presence,Crime_Rate
District_2,2021,Winter,11.91,29167.0,13.9,4230.0,Low,48.28
District_6,2015,Summer,8.72,54944.0,13.3,4555.0,Low,62.37
District_14,2024,Winter,3.6,56142.0,9.2,4211.0,Low,26.44
District_6,2022,Spring,10.32,31628.0,10.2,1165.0,Low,37.67
District_2,2021,Winter,7.88,31795.0,16.0,4997.0,High,30.78
District_1,2023,Summer,6.8,79373.0,13.0,3525.0,High,39.47
District_10,2014,Spring,10.68,34597.0,15.1,2798.0,Low,48.75
District_5,2020,Fall,8.24,70292.0,13.7,4797.0,Low,42.78
District_2,2023,Winter,4.11,48219.0,8.4,4178.0,Low,25.94
District_16,2019,Summer,13.99,46099.0,16.0,3613.0,Low,60.08
District_2,2019,Fall,12.34,37698.0,8.6,4273.0,Low,58.66
District_10,2019,Summer,3.68,66430.0,17.4,2235.0,High,19.72
District_2,2019,Spring,9.3,72840.0,10.2,3580.0,High,38.55
District_16,2023,Spring,4.0,35668.0,13.1,1358.0,Low,24.86
District_16,2020,Winter,13.05,25706.0,8.6,4946.0,High,50.33
District_19,2016,Summer,10.36,28215.0,16.9,3150.0,Low,61.39
District_7,2019,Summer,5.07,67568.0,17.8,4164.0,High,25.1
District_12,2016,Summer,3.25,46150.0,9.5,2333.0,Low,36.48
District_15,2020,Spring,3.38,27915.0,11.0,3914.0,High,29.98
District_8,2020,Winter,9.09,40417.0,8.2,2243.0,High,25.18
District_6,2021,Summer,11.81,50854.0,15.9,3155.0,Low,60.25
District_10,2015,Summer,4.45,71123.0,11.1,4002.0,High,29.28
District_3,2022,Fall,5.66,58505.0,13.9,1024.0,High,13.76
District_19,2018,Summer,6.93,30562.0,8.4,2106.0,Low,53.34
District_17,2022,Winter,5.62,29522.0,15.2,2952.0,Low,27.88
District_7,2023,Fall,7.7,44740.0,13.3,2003.0,High,25.86
District_20,2018,Fall,9.72,24512.0,15.2,1891.0,High,36.4
District_4,2020,Fall,11.22,65335.0,15.9,1767.0,Low,47.91
District_14,2024,Spring,14.57,44087.0,8.9,1525.0,Low,57.43
District_20,2022,Fall,14.17,40581.0,13.8,4320.0,Low,58.69
District_15,2017,Summer,9.84,50546.0,14.5,4657.0,High,35.26
District_8,2015,Spring,11.81,62537.0,13.2,3651.0,Low,44.68
District_15,2022,Spring,14.41,54161.0,9.8,635.0,High,41.57
District_20,2015,Spring,4.0,68144.0,16.0,4038.0,High,13.4
District_14,2016,Spring,3.07,57762.0,18.0,2894.0,High,10.22
District_9,2023,Spring,3.36,67278.0,17.7,3911.0,High,25.98
District_8,2015,Spring,9.76,61807.0,15.8,2468.0,Low,46.91
District_17,2016,Spring,12.15,31587.0,12.2,686.0,High,35.43
District_2,2019,Fall,7.4,23141.0,11.4,3568.0,Low,50.06
District_3,2016,Winter,9.54,74204.0,8.7,2499.0,Low,33.13
District_8,2023,Summer,9.2,76739.0,12.2,4433.0,High,50.43
District_12,2021,Summer,4.14,63616.0,9.6,3822.0,Low,43.06
District_1,2024,Fall,6.86,63452.0,10.5,2118.0,Low,43.69
District_10,2019,Fall,3.23,36209.0,16.9,3758.0,Low,28.07
District_20,2020,Spring,4.33,52547.0,17.7,2728.0,High,25.45
District_3,2014,Winter,12.74,79534.0,17.5,1397.0,High,21.43
District_6,2016,Spring,12.95,71369.0,9.9,2389.0,High,34.08
District_7,2016,Fall,12.62,38264.0,17.0,1502.0,Low,47.45
District_20,2015,Spring,11.72,38063.0,9.4,522.0,High,36.31
District_18,2020,Summer,12.52,49015.0,13.1,1611.0,Low,60.73
District_11,2022,Summer,11.05,44276.0,14.4,1443.0,High,37.78
District_19,2017,Spring,11.04,42269.0,12.6,520.0,Low,46.88
District_5,2018,Winter,11.01,57618.0,17.5,4028.0,Low,37.03
District_19,2016,Spring,9.17,20690.0,11.3,846.0,High,30.8
District_11,2024,Spring,7.36,65800.0,13.3,2521.0,Low,36.82
District_12,2022,Winter,11.76,64403.0,8.8,2380.0,Low,47.79
District_10,2017,Winter,6.58,69820.0,16.5,1316.0,Low,12.61
District_8,2018,Winter,9.51,70487.0,12.1,4851.0,Low,47.25
District_9,2014,Summer,8.2,53984.0,15.0,3217.0,Low,51.73
District_4,2024,Spring,6.32,66804.0,14.8,4161.0,Low,35.92
District_5,2015,Fall,14.7,49544.0,14.8,2733.0,Low,56.79
District_8,2022,Winter,6.11,77092.0,13.1,3753.0,High,5.64
District_9,2015,Winter,6.71,31442.0,10.8,4864.0,High,41.89
District_15,2018,Spring,4.94,74937.0,14.3,2068.0,High,15.45
District_15,2021,Fall,12.88,35512.0,17.6,2769.0,High,47.97
District_16,2016,Spring,10.04,26163.0,16.3,2815.0,Low,44.25
District_14,2019,Spring,10.36,46346.0,9.1,4964.0,Low,58.76
District_8,2017,Winter,12.85,56895.0,8.2,1549.0,Low,49.61
District_18,2024,Winter,7.12,33859.0,13.0,3539.0,High,25.04
District_10,2020,Summer,5.32,53348.0,15.8,1122.0,Low,25.09
District_20,2023,Fall,5.38,68474.0,11.1,4672.0,Low,40.43
District_6,2016,Fall,11.79,35425.0,15.0,3157.0,Low,46.55
District_12,2019,Winter,10.37,54819.0,17.3,4367.0,High,26.17
District_2,2023,Winter,5.48,40359.0,12.6,4529.0,High,22.48
District_7,2022,Winter,4.74,51786.0,10.4,3007.0,High,20.06
District_16,2024,Fall,4.45,60015.0,17.2,3569.0,Low,27.43
District_3,2023,Summer,10.53,41025.0,12.7,3644.0,High,42.29
District_13,2014,Fall,3.0,79669.0,12.1,2572.0,Low,27.13
District_3,2016,Winter,3.22,53827.0,11.5,2457.0,High,16.07
District_18,2015,Winter,7.67,69468.0,12.2,1338.0,High,10.62
District_11,2021,Summer,11.3,63508.0,14.7,2228.0,High,40.76
District_8,2020,Spring,11.34,71168.0,12.3,4958.0,Low,57.98
District_6,2015,Spring,8.16,30428.0,11.2,1714.0,Low,44.25
District_1,2019,Fall,11.29,33353.0,15.4,3931.0,Low,48.53
District_1,2016,Spring,9.25,49245.0,10.0,767.0,High,33.21
District_8,2021,Spring,14.72,71140.0,10.0,2604.0,High,47.93
District_5,2023,Fall,4.95,31856.0,15.0,763.0,Low,30.68
District_16,2016,Winter,10.21,78264.0,16.7,2641.0,High,22.23
District_11,2023,Spring,8.89,27656.0,10.4,624.0,High,23.46
District_5,2022,Winter,5.33,30505.0,9.9,3260.0,High,24.76
District_4,2014,Fall,12.0,30034.0,14.7,3139.0,High,49.96
District_6,2018,Winter,6.31,55160.0,14.2,4090.0,High,29.74
District_14,2016,Winter,7.58,75052.0,12.5,3125.0,High,26.57
District_19,2019,Fall,7.5,35307.0,9.0,4667.0,Low,53.62
District_9,2023,Winter,5.93,53182.0,8.9,4024.0,Low,40.46
District_12,2015,Spring,8.17,30546.0,15.8,1097.0,Low,40.07
District_11,2022,Spring,8.68,57868.0,12.5,1695.0,High,28.43
District_14,2019,Spring,11.93,27395.0,16.6,618.0,Low,50.74
District_16,2020,Spring,12.18,49479.0,13.7,2238.0,High,36.76
District_1,2018,Winter,4.9,59311.0,14.2,2793.0,Low,24.01
District_13,2022,Spring,10.11,54748.0,17.3,4757.0,Low,52.51
District_13,2014,Winter,13.75,28400.0,9.6,2850.0,Low,51.45
District_2,2018,Summer,4.31,29682.0,13.4,4015.0,Low,38.25
District_4,2024,Winter,8.67,60283.0,8.6,1706.0,High,21.33
District_6,2023,Spring,12.0,68535.0,11.6,1189.0,Low,47.93
District_5,2024,Summer,10.34,74484.0,9.5,4149.0,Low,68.81
District_3,2019,Fall,4.21,68817.0,9.9,1613.0,Low,36.15
District_1,2020,Winter,7.76,78435.0,17.3,4421.0,Low,34.46
District_4,2017,Spring,9.09,44495.0,14.1,1264.0,High,37.56
District_20,2014,Spring,14.95,39870.0,16.9,4332.0,High,52.92
District_2,2024,Spring,5.14,21691.0,12.4,3978.0,Low,40.01
District_5,2021,Fall,14.79,46994.0,14.0,3250.0,High,50.39
District_3,2023,Summer,7.51,59082.0,8.3,4326.0,High,43.24
District_9,2017,Summer,5.4,68925.0,12.7,1988.0,Low,31.63
District_20,2016,Spring,7.97,36047.0,13.6,1247.0,High,27.58
District_6,2020,Winter,10.37,50815.0,8.2,1207.0,Low,32.95
District_18,2015,Spring,5.56,59721.0,15.9,1717.0,Low,26.59
District_6,2021,Spring,6.5,53096.0,11.0,2508.0,High,28.36
District_19,2019,Winter,13.25,36441.0,12.5,4442.0,Low,54.61
District_12,2020,Spring,14.99,67777.0,13.4,903.0,High,49.07
District_11,2018,Fall,6.82,30402.0,17.9,4619.0,High,34.42
District_2,2022,Spring,4.79,74299.0,9.0,4665.0,High,38.65
District_15,2018,Fall,12.52,77156.0,13.6,3773.0,Low,45.62
District_12,2024,Spring,10.21,41934.0,13.3,4551.0,Low,57.95
District_12,2018,Summer,4.2,42571.0,8.7,3965.0,Low,48.4
District_9,2016,Winter,14.36,64597.0,14.3,2877.0,Low,47.02
District_2,2024,Summer,3.94,47377.0,10.9,3203.0,High,24.85
District_3,2014,Spring,10.5,21717.0,9.0,3327.0,Low,59.65
District_12,2015,Spring,8.09,75193.0,9.8,1071.0,Low,47.74
District_16,2021,Fall,9.68,45845.0,16.2,1369.0,High,32.4
District_1,2014,Spring,5.56,32210.0,9.0,2855.0,Low,42.36
District_3,2020,Spring,11.26,53340.0,12.7,1019.0,Low,45.27
District_20,2018,Spring,14.52,33134.0,10.0,4842.0,Low,72.84
District_2,2016,Summer,8.5,32361.0,9.6,2782.0,High,52.93
District_9,2024,Fall,9.28,52744.0,10.1,2210.0,Low,45.0
District_19,2020,Summer,5.88,43463.0,12.9,1209.0,High,29.8
District_15,2022,Fall,13.7,54380.0,10.4,2374.0,Low,57.87
District_18,2015,Summer,14.65,79810.0,9.0,1861.0,High,49.0
District_11,2021,Spring,12.44,71541.0,16.0,896.0,Low,42.01
District_16,2022,Summer,9.51,20460.0,13.4,4852.0,High,59.52
District_17,2024,Summer,14.48,23033.0,9.6,1692.0,Low,65.0
District_5,2016,Fall,4.85,56605.0,12.7,3607.0,High,28.57
District_12,2015,Fall,8.74,57575.0,8.7,911.0,Low,44.28
District_11,2020,Summer,9.45,72691.0,13.8,4609.0,Low,52.7
District_15,2018,Fall,8.9,57743.0,11.4,3158.0,Low,48.82
District_3,2018,Fall,12.63,33663.0,9.0,3456.0,High,54.79
District_1,2023,Fall,11.04,48111.0,9.8,4018.0,High,43.04
District_20,2018,Winter,4.52,68539.0,11.5,3227.0,High,15.94
District_16,2017,Fall,7.16,75369.0,16.1,819.0,Low,27.91
District_2,2018,Winter,7.07,34215.0,9.7,2433.0,Low,31.86
District_2,2017,Winter,9.79,52376.0,9.1,1679.0,Low,39.85
District_3,2019,Fall,6.5,29536.0,13.2,2690.0,High,31.59
District_8,2017,Summer,4.41,49820.0,13.6,2319.0,High,37.03
District_15,2015,Fall,10.84,25407.0,8.9,4219.0,Low,57.93
District_7,2022,Spring,13.21,76504.0,10.8,1612.0,High,44.55
District_6,2015,Summer,14.18,58283.0,10.6,1406.0,High,52.66
District_9,2022,Winter,14.67,71253.0,9.9,4811.0,High,52.73
District_20,2023,Winter,12.37,79898.0,11.2,4773.0,High,35.1
District_1,2019,Summer,4.68,30960.0,8.4,4971.0,High,34.17
District_8,2022,Summer,13.24,61649.0,14.5,3058.0,Low,57.97
District_3,2022,Fall,7.8,73219.0,17.9,1009.0,High,22.51
District_4,2016,Winter,11.76,54556.0,14.3,4461.0,Low,45.65
District_15,2014,Spring,9.38,58382.0,11.6,1153.0,Low,39.79
District_6,2014,Fall,12.94,44460.0,14.7,1200.0,Low,59.49
District_15,2016,Summer,8.11,60486.0,13.7,1370.0,High,27.95
District_3,2018,Winter,3.74,43735.0,16.5,3440.0,High,18.27
District_14,2016,Summer,9.68,48597.0,14.2,982.0,High,30.74
District_20,2022,Summer,5.06,26175.0,14.3,4002.0,Low,52.13
District_14,2022,Summer,14.59,20469.0,10.2,762.0,Low,65.12
District_4,2016,Fall,9.32,23309.0,12.2,997.0,Low,48.09
District_12,2016,Spring,9.64,31551.0,11.4,2455.0,High,36.08
District_17,2018,Spring,13.89,47396.0,8.1,2206.0,Low,60.58
District_7,2015,Winter,10.5,21260.0,11.1,4954.0,Low,54.62
District_9,2019,Summer,6.63,29356.0,12.9,4851.0,High,36.8
District_3,2020,Spring,6.55,66887.0,14.0,1354.0,High,17.95
District_13,2022,Summer,9.02,65730.0,17.3,4760.0,Low,50.96
District_15,2019,Winter,13.4,67384.0,10.4,3615.0,High,37.08
District_18,2016,Summer,12.54,75292.0,9.5,2340.0,Low,58.42
District_19,2018,Spring,14.55,27144.0,16.7,3828.0,High,50.18
District_1,2017,Summer,3.86,29788.0,17.4,4551.0,High,34.39
District_6,2018,Spring,6.22,40013.0,12.9,1311.0,Low,33.76
District_2,2021,Winter,3.96,74908.0,9.2,1382.0,High,22.57
District_14,2021,Summer,12.01,66529.0,12.9,2339.0,Low,44.37
District_6,2019,Spring,4.69,39447.0,9.1,1261.0,Low,30.53
District_14,2014,Winter,4.2,25258.0,16.8,2122.0,Low,26.63
District_4,2021,Summer,9.74,56983.0,15.1,3406.0,Low,51.87
District_8,2021,Winter,7.94,35409.0,10.4,4158.0,High,35.78
District_3,2015,Spring,11.58,51869.0,16.9,1859.0,Low,27.85
District_19,2017,Summer,8.84,76508.0,14.4,1768.0,Low,40.65
District_14,2015,Summer,8.1,54357.0,17.5,4009.0,Low,46.63
District_20,2017,Summer,8.11,75430.0,17.8,2215.0,High,30.83
District_17,2023,Winter,13.46,43582.0,8.0,4183.0,High,50.41
District_8,2020,Winter,7.74,58001.0,9.2,4970.0,Low,43.43
District_14,2022,Spring,7.0,73633.0,13.5,4909.0,Low,41.2
District_6,2021,Fall,7.06,55279.0,17.6,3482.0,High,20.95
District_16,2022,Summer,5.36,56894.0,17.9,2188.0,Low,35.21
District_19,2021,Summer,13.33,62978.0,13.7,795.0,High,41.97
District_14,2015,Spring,4.76,72926.0,9.7,3821.0,Low,34.53
District_19,2020,Summer,13.9,25291.0,9.6,4901.0,Low,75.97
District_3,2015,Winter,6.4,40212.0,15.6,806.0,Low,21.95
District_10,2024,Winter,13.79,43861.0,13.9,528.0,Low,35.33
District_19,2015,Summer,12.49,74583.0,13.5,4243.0,High,52.56
District_9,2017,Summer,9.98,77360.0,12.7,960.0,High,42.94
District_20,2014,Winter,11.03,27223.0,15.3,867.0,High,29.24
District_13,2018,Summer,6.91,27146.0,16.6,4597.0,Low,51.89
District_7,2019,Winter,9.89,76092.0,11.0,858.0,High,29.36
District_14,2022,Fall,6.51,37746.0,10.2,1013.0,High,37.96
District_9,2023,Fall,7.83,34509.0,14.7,3063.0,Low,43.0
District_19,2021,Summer,12.18,22137.0,17.1,3906.0,Low,58.08
District_15,2015,Summer,5.93,36536.0,11.5,2298.0,Low,46.93
District_20,2014,Summer,13.07,61612.0,10.7,2393.0,Low,60.66
District_14,2015,Winter,7.51,45562.0,10.3,3347.0,High,33.55
District_6,2020,Fall,9.39,51012.0,10.5,2774.0,High,38.61
District_4,2017,Fall,14.3,75038.0,9.3,584.0,Low,52.29
District_8,2023,Spring,11.18,26881.0,14.0,1011.0,High,32.17
District_17,2018,Spring,10.75,24274.0,10.8,3117.0,High,50.88
District_9,2020,Summer,11.54,71116.0,14.1,4071.0,Low,53.07
District_1,2016,Winter,14.02,66491.0,8.8,3934.0,Low,49.07
District_20,2023,Summer,5.98,35824.0,9.2,3830.0,High,28.66
District_14,2015,Fall,10.36,39454.0,13.4,3971.0,High,43.02
District_11,2020,Summer,7.8,38617.0,13.1,700.0,Low,39.15
District_3,2018,Summer,3.14,58869.0,10.7,4528.0,High,30.73
District_9,2014,Fall,4.5,23673.0,16.3,4502.0,High,27.5
District_14,2014,Fall,6.9,49364.0,9.9,2894.0,Low,41.83
District_9,2022,Fall,9.78,28032.0,11.6,1619.0,High,34.38
District_4,2018,Fall,13.58,69184.0,13.6,3165.0,High,40.77
District_4,2014,Spring,12.49,42840.0,16.7,3010.0,Low,46.42
District_8,2020,Winter,9.64,51654.0,12.2,1503.0,Low,34.69
District_2,2022,Winter,3.89,21759.0,12.0,3214.0,Low,25.38
District_9,2024,Fall,6.43,23496.0,13.8,4088.0,Low,52.31
District_14,2014,Winter,7.4,60503.0,11.2,4127.0,Low,37.6
District_9,2023,Winter,10.46,66006.0,15.1,769.0,Low,22.79
District_16,2017,Winter,3.78,62602.0,10.5,1387.0,Low,21.83
District_17,2016,Winter,9.36,64221.0,16.2,3507.0,Low,30.57
District_16,2018,Fall,13.82,26277.0,10.7,4369.0,High,63.21
District_12,2020,Summer,11.47,61607.0,17.9,2845.0,Low,46.97
District_3,2021,Summer,12.56,30905.0,11.2,3684.0,Low,73.63
District_11,2015,Summer,11.18,25881.0,16.8,595.0,Low,54.06
District_14,2020,Spring,5.48,65430.0,12.0,3238.0,High,43.82
District_18,2014,Winter,4.33,73364.0,10.5,4829.0,Low,31.32
District_5,2020,Fall,12.95,63003.0,10.3,3475.0,Low,61.54
District_16,2021,Fall,11.35,68334.0,16.5,4650.0,High,40.63
District_20,2015,Spring,9.9,79465.0,11.1,3047.0,Low,45.31
District_5,2022,Fall,5.27,28085.0,11.4,4295.0,Low,51.63
District_3,2014,Summer,10.24,77909.0,10.0,1059.0,Low,50.98
District_12,2019,Spring,3.38,56072.0,17.6,1056.0,Low,19.12
District_1,2014,Fall,4.43,68795.0,10.4,1041.0,Low,35.03
District_9,2016,Spring,6.74,59010.0,10.5,2700.0,Low,44.64
District_9,2024,Spring,8.32,54202.0,17.4,1986.0,Low,42.98
District_4,2019,Fall,4.45,62217.0,17.0,3736.0,Low,37.09
District_3,2016,Summer,4.44,39216.0,10.5,4562.0,High,36.64
District_17,2021,Fall,11.71,75456.0,16.6,3287.0,High,33.87
District_2,2018,Winter,9.84,26918.0,10.5,1459.0,High,29.31
District_1,2015,Winter,9.4,39082.0,8.8,4689.0,Low,53.78
District_8,2017,Fall,8.43,21870.0,16.2,2875.0,Low,51.93
District_13,2022,Summer,14.72,36279.0,15.7,3740.0,Low,72.15
District_15,2017,Winter,3.6,33093.0,10.9,4507.0,Low,26.46
District_8,2023,Winter,5.17,22978.0,8.9,4954.0,Low,38.86
District_12,2023,Fall,10.77,49506.0,10.1,2777.0,Low,56.18
District_12,2021,Fall,4.64,48118.0,15.7,4136.0,High,32.22
District_14,2018,Fall,10.07,24665.0,17.6,3051.0,Low,49.53
District_15,2024,Spring,9.81,35711.0,10.6,2689.0,Low,58.29
District_15,2024,Spring,14.65,77199.0,16.2,2920.0,Low,42.17
District_9,2023,Spring,13.6,26644.0,10.3,2679.0,Low,60.72
District_19,2014,Fall,14.35,38301.0,14.8,2395.0,Low,64.6
District_20,2020,Summer,4.36,22152.0,8.8,3757.0,High,41.72
District_8,2016,Winter,13.42,28933.0,13.9,1624.0,High,33.2
District_19,2023,Spring,4.55,61964.0,10.7,3274.0,Low,39.16
District_6,2021,Summer,10.6,42003.0,17.3,3708.0,High,44.74
District_20,2016,Fall,11.64,47125.0,10.9,4514.0,High,47.37
District_19,2014,Spring,4.93,29419.0,12.0,1993.0,High,18.05
District_4,2018,Fall,10.59,60928.0,16.4,4373.0,High,42.53
District_7,2015,Summer,3.63,65091.0,12.4,4754.0,Low,35.76
District_4,2024,Spring,6.52,30867.0,10.4,3419.0,Low,56.25
District_12,2017,Spring,14.05,22700.0,13.5,3971.0,Low,55.26
District_13,2014,Spring,5.06,24856.0,16.4,2326.0,Low,33.77
District_3,2022,Spring,3.78,59423.0,12.3,4785.0,High,30.32
District_12,2019,Summer,8.32,28131.0,9.3,3519.0,High,42.73
District_2,2021,Spring,13.21,49635.0,11.8,1896.0,Low,49.88
District_2,2024,Winter,3.92,29158.0,17.5,2319.0,Low,26.09
District_9,2017,Winter,7.27,30209.0,8.7,3280.0,High,27.0
District_1,2022,Fall,13.8,20262.0,12.1,1554.0,Low,68.63
District_8,2015,Spring,4.42,39249.0,14.5,3893.0,High,26.63
District_6,2022,Winter,6.73,25388.0,8.8,1511.0,High,23.66
District_6,2018,Winter,12.34,43638.0,11.4,3163.0,High,47.46
District_18,2019,Winter,9.52,55867.0,17.4,3637.0,Low,30.63
District_17,2016,Summer,12.99,42052.0,8.3,4369.0,Low,79.61
District_12,2017,Spring,4.34,62305.0,15.5,3803.0,High,16.48
District_6,2019,Summer,14.05,64487.0,16.4,4095.0,Low,67.61
District_8,2020,Summer,14.22,61796.0,10.8,4608.0,Low,78.65
District_19,2014,Winter,4.86,76203.0,10.1,3190.0,Low,26.63
District_10,2020,Winter,3.41,34238.0,17.1,4308.0,High,15.62
District_1,2014,Fall,14.88,31367.0,15.6,1543.0,High,45.05
District_13,2018,Spring,8.79,56583.0,9.1,4166.0,High,36.94
District_17,2019,Spring,9.86,55693.0,10.1,1498.0,Low,45.1
District_3,2015,Winter,10.39,50606.0,14.2,4706.0,Low,49.82
District_8,2023,Winter,12.48,20261.0,12.2,1985.0,High,41.85
District_14,2022,Spring,12.74,53314.0,13.0,1273.0,Low,51.18
District_3,2023,Fall,5.33,75968.0,17.5,1167.0,Low,19.24
District_16,2019,Winter,5.84,40075.0,12.2,1343.0,Low,22.03
District_13,2020,Fall,13.52,78056.0,16.8,2514.0,Low,56.66
District_20,2023,Summer,12.83,41405.0,14.6,2850.0,Low,53.14
District_17,2021,Winter,10.41,28391.0,9.2,4612.0,Low,52.63
District_13,2024,Summer,14.94,43904.0,15.4,2215.0,High,55.72
District_6,2023,Winter,11.82,49677.0,13.2,1479.0,High,37.94
District_17,2014,Summer,5.59,57768.0,10.3,3847.0,Low,46.71
District_14,2021,Winter,13.16,50293.0,10.9,1106.0,Low,46.15
District_17,2017,Fall,7.98,52203.0,13.6,4515.0,Low,44.72
District_8,2023,Fall,3.43,21444.0,14.0,2342.0,Low,42.03
District_11,2021,Fall,6.86,35217.0,17.7,3262.0,Low,45.83
District_20,2019,Summer,12.16,38642.0,16.5,1338.0,Low,47.07
District_1,2024,Fall,14.52,79225.0,10.1,1155.0,Low,56.11
District_7,2022,Summer,6.31,37734.0,15.7,4095.0,High,36.09
District_17,2024,Winter,5.96,73795.0,8.1,2434.0,Low,31.61
District_10,2017,Summer,9.76,38284.0,9.3,4940.0,Low,60.18
District_11,2015,Winter,12.74,25767.0,10.0,2859.0,Low,43.8
District_9,2015,Spring,11.96,34857.0,14.0,4305.0,Low,52.07
District_9,2018,Spring,9.72,36370.0,9.9,4910.0,Low,54.85
District_5,2023,Spring,10.58,78695.0,11.7,1765.0,High,29.79
District_17,2022,Summer,5.91,60457.0,10.4,4104.0,High,25.86
District_9,2016,Spring,8.19,75901.0,11.4,599.0,Low,35.07
District_17,2021,Spring,6.06,70100.0,17.4,3559.0,Low,24.85
District_19,2017,Spring,13.61,54716.0,18.0,3853.0,Low,53.22
District_7,2019,Winter,4.35,60523.0,14.9,2648.0,Low,15.97
District_9,2023,Fall,11.16,57490.0,13.7,1229.0,High,25.29
District_7,2019,Summer,6.12,59976.0,15.1,3275.0,High,30.8
District_13,2016,Spring,8.71,35886.0,15.7,4539.0,Low,47.28
District_11,2018,Winter,6.59,44488.0,15.4,4691.0,Low,35.96
District_14,2016,Fall,6.88,55557.0,8.8,3857.0,Low,54.6
District_19,2024,Fall,6.12,22156.0,11.1,1687.0,Low,44.49
District_11,2024,Fall,12.03,48970.0,11.4,4416.0,Low,69.41
District_13,2014,Winter,7.39,71584.0,11.7,4500.0,Low,35.01
District_14,2020,Spring,11.72,49542.0,11.4,2153.0,High,37.27
District_13,2017,Fall,8.47,53139.0,15.9,1323.0,High,28.6
District_1,2020,Winter,9.57,32114.0,15.5,4436.0,High,43.22
District_8,2016,Winter,9.52,67661.0,8.0,4483.0,High,30.46
District_12,2024,Summer,14.71,41533.0,11.0,954.0,High,59.44
District_19,2018,Winter,7.4,77395.0,14.2,4851.0,Low,36.6
District_12,2018,Fall,5.49,79623.0,9.2,2899.0,High,24.07
District_8,2015,Fall,13.94,74960.0,8.7,4972.0,High,62.33
District_8,2024,Winter,5.1,25093.0,16.3,2503.0,Low,21.21
District_13,2023,Fall,13.01,39991.0,12.5,2900.0,High,51.04
District_12,2015,Winter,4.8,76708.0,16.6,1697.0,High,5.11
District_16,2017,Fall,10.9,68272.0,16.2,4545.0,Low,55.01
District_1,2017,Summer,4.81,74671.0,16.9,2497.0,High,23.05
District_13,2017,Spring,14.08,54353.0,8.5,4166.0,High,60.54
District_7,2019,Summer,9.78,48824.0,9.9,859.0,High,40.08
District_5,2015,Summer,6.95,26390.0,11.0,4047.0,Low,52.43
District_8,2019,Spring,4.68,70368.0,9.4,2706.0,Low,33.51
District_14,2020,Fall,7.45,64708.0,12.9,524.0,High,23.56
District_13,2024,Spring,11.46,23533.0,16.0,1518.0,Low,49.45
District_15,2023,Winter,7.62,32565.0,17.5,1372.0,High,21.18
District_17,2016,Spring,5.95,53437.0,16.9,3883.0,Low,35.7
District_15,2024,Summer,9.93,61064.0,12.6,2647.0,Low,54.43
District_20,2021,Spring,8.01,28260.0,14.4,1219.0,High,40.18
District_18,2015,Fall,4.99,34689.0,10.3,1656.0,Low,33.31
District_18,2024,Summer,4.85,31587.0,12.0,2768.0,Low,48.68
District_2,2021,Winter,11.49,33200.0,16.7,588.0,Low,32.39
District_4,2024,Fall,14.7,75243.0,8.3,2409.0,Low,54.67
District_1,2018,Summer,5.8,62949.0,13.3,3551.0,Low,49.55
District_4,2015,Winter,12.28,64226.0,16.7,2830.0,Low,35.32
District_18,2020,Fall,4.05,67640.0,9.2,3191.0,Low,35.21
District_5,2015,Winter,7.58,41394.0,17.8,1970.0,Low,23.82
District_19,2019,Spring,9.08,66031.0,8.1,1324.0,Low,54.73
District_15,2023,Spring,6.22,78705.0,16.9,4144.0,Low,33.19
District_8,2016,Winter,9.35,61904.0,11.5,4575.0,Low,37.79
District_20,2022,Spring,13.59,45005.0,9.3,2798.0,Low,55.96
District_17,2016,Winter,14.33,62982.0,9.6,1873.0,High,50.04
District_1,2024,Fall,4.21,74048.0,15.0,2800.0,High,16.73
District_12,2016,Summer,6.26,27726.0,16.7,4455.0,Low,47.75
District_19,2018,Winter,14.75,35918.0,14.4,3611.0,Low,62.33
District_15,2020,Summer,6.25,75158.0,17.3,4364.0,Low,46.51
District_9,2021,Summer,11.31,76774.0,16.4,1978.0,Low,41.88
District_7,2024,Winter,6.04,49048.0,8.1,3704.0,Low,33.79
District_2,2020,Spring,7.28,42473.0,14.7,3439.0,High,28.68
District_9,2022,Fall,5.3,36967.0,11.0,3072.0,High,29.23
District_10,2018,Summer,13.28,49925.0,12.5,2877.0,Low,65.95
District_2,2023,Fall,13.59,76072.0,8.9,2979.0,Low,57.13
District_19,2024,Summer,6.56,28989.0,10.8,4324.0,Low,52.68
District_11,2016,Winter,12.88,45190.0,14.3,4622.0,Low,51.99
District_13,2019,Spring,7.3,74696.0,10.2,1008.0,Low,31.06
District_10,2018,Fall,4.19,40947.0,14.5,3059.0,Low,41.81
District_14,2017,Summer,12.1,66085.0,17.2,4633.0,Low,53.51
District_18,2015,Winter,10.16,43356.0,8.0,1106.0,High,31.29
District_19,2020,Winter,6.29,68296.0,15.9,2358.0,High,16.79
District_9,2018,Summer,6.04,78860.0,14.4,901.0,Low,34.92
District_7,2017,Summer,14.71,43269.0,8.5,1011.0,High,52.9
District_3,2021,Summer,13.35,70706.0,15.9,4568.0,Low,66.06
District_20,2022,Spring,12.72,79305.0,10.2,2508.0,High,51.89
District_6,2022,Summer,4.54,79030.0,10.7,3599.0,Low,48.64
District_2,2016,Summer,12.06,46026.0,8.9,1125.0,Low,45.29
District_6,2016,Spring,5.57,49146.0,13.3,599.0,High,18.6
